Prefix,Gap Start,Gap End,Missing Count
EDC,EDC0004900,EDC0004900,1
EDC,EDC0004902,EDC0004902,1
EDC,EDC0004911,EDC0004911,1
EDC,EDC0004918,EDC0004918,1
EDC,EDC0004954,EDC0004954,1
EDC,EDC0004974,EDC0004975,2
EDC,EDC0004984,EDC0004984,1
EDC,EDC0004986,EDC0004986,1
EDC,EDC0004994,EDC0004995,2
EDC,EDC0005028,EDC0005028,1
EDC,EDC0005040,EDC0005041,2
EDC,EDC0005043,EDC0005043,1
EDC,EDC0005056,EDC0005056,1
EDC,EDC0005067,EDC0005067,1
EDC,EDC0005093,EDC0005093,1
EDC,EDC0005115,EDC0005115,1
EDC,EDC0005123,EDC0005123,1
EDC,EDC0005156,EDC0005156,1
EDC,EDC0005164,EDC0005164,1
EDC,EDC0005175,EDC0005176,2
EDC,EDC0005242,EDC0005242,1
EDC,EDC0005257,EDC0005257,1
EDC,EDC0005261,EDC0005263,3
EDC,EDC0005268,EDC0005271,4
EDC,EDC0005281,EDC0005281,1
EDC,EDC0005296,EDC0005296,1
EDC,EDC0005303,EDC0005303,1
EDC,EDC0005310,EDC0005310,1
EDC,EDC0005321,EDC0005321,1
EDC,EDC0005323,EDC0005323,1
EDC,EDC0005397,EDC0005397,1
EDC,EDC0005423,EDC0005423,1
EDC,EDC0005432,EDC0005432,1
EDC,EDC0005443,EDC0005443,1
EDC,EDC0005460,EDC0005461,2
EDC,EDC0005484,EDC0005486,3
EDC,EDC0005512,EDC0005513,2
EDC,EDC0005520,EDC0005520,1
EDC,EDC0005522,EDC0005522,1
EDC,EDC0005541,EDC0005541,1
EDC,EDC0005544,EDC0005544,1
EDC,EDC0005572,EDC0005572,1
EDC,EDC0005582,EDC0005584,3
EDC,EDC0005586,EDC0005587,2
EDC,EDC0005613,EDC0005614,2
EDC,EDC0005618,EDC0005618,1
EDC,EDC0005622,EDC0005622,1
EDC,EDC0005627,EDC0005627,1
EDC,EDC0005631,EDC0005632,2
EDC,EDC0005637,EDC0005638,2
EDC,EDC0005641,EDC0005642,2
EDC,EDC0005644,EDC0005645,2
EDC,EDC0005718,EDC0005718,1
EDC,EDC0005740,EDC0005740,1
EDC,EDC0005778,EDC0005778,1
EDC,EDC0005786,EDC0005786,1
EDC,EDC0005795,EDC0005795,1
EDC,EDC0005805,EDC0005806,2
EDC,EDC0005831,EDC0005831,1
EDC,EDC0005839,EDC0005839,1
EDC,EDC0005841,EDC0005841,1
EDC,EDC0005856,EDC0005856,1
EDC,EDC0005881,EDC0005882,2
EDC,EDC0005885,EDC0005885,1
EDC,EDC0005887,EDC0005887,1
EDC,EDC0005910,EDC0005911,2
EDC,EDC0005936,EDC0005937,2
EDC,EDC0005943,EDC0005943,1
EDC,EDC0005949,EDC0005949,1
EDC,EDC0005968,EDC0005968,1
EDC,EDC0006012,EDC0006013,2
EDC,EDC0006015,EDC0006015,1
EDC,EDC0006020,EDC0006020,1
EDC,EDC0006026,EDC0006026,1
EDC,EDC0006028,EDC0006028,1
EDC,EDC0006042,EDC0006042,1
EDC,EDC0006084,EDC0006084,1
EDC,EDC0006088,EDC0006089,2
EDC,EDC0006098,EDC0006099,2
EDC,EDC0006104,EDC0006104,1
EDC,EDC0006108,EDC0006108,1
EDC,EDC0006139,EDC0006139,1
EDC,EDC0006148,EDC0006148,1
EDC,EDC0006163,EDC0006164,2
EDC,EDC0006174,EDC0006174,1
EDC,EDC0006188,EDC0006188,1
EDC,EDC0006191,EDC0006192,2
EDC,EDC0006219,EDC0006219,1
EDC,EDC0006225,EDC0006226,2
EDC,EDC0006228,EDC0006228,1
EDC,EDC0006245,EDC0006245,1
EDC,EDC0006273,EDC0006274,2
EDC,EDC0006276,EDC0006277,2
EDC,EDC0006317,EDC0006317,1
EDC,EDC0006329,EDC0006329,1
EDC,EDC0006398,EDC0006398,1
EDC,EDC0006402,EDC0006402,1
EDC,EDC0006410,EDC0006411,2
EDC,EDC0006413,EDC0006414,2
EDC,EDC0006418,EDC0006419,2
EDC,EDC0006490,EDC0006490,1
EDC,EDC0006522,EDC0006523,2
EDC,EDC0006560,EDC0006560,1
EDC,EDC0006566,EDC0006566,1
EDC,EDC0006572,EDC0006573,2
EDC,EDC0006585,EDC0006585,1
EDC,EDC0006590,EDC0006590,1
EDC,EDC0006597,EDC0006600,4
EDC,EDC0006603,EDC0006603,1
EDC,EDC0006615,EDC0006615,1
EDC,EDC0006619,EDC0006619,1
EDC,EDC0006670,EDC0006673,4
EDC,EDC0006689,EDC0006689,1
EDC,EDC0006722,EDC0006723,2
EDC,EDC0006725,EDC0006725,1
EDC,EDC0006729,EDC0006731,3
EDC,EDC0006733,EDC0006733,1
EDC,EDC0006759,EDC0006760,2
EDC,EDC0006764,EDC0006765,2
EDC,EDC0006793,EDC0006793,1
